epoch,loss,psnr,val_loss,val_psnr
0,1987.7638050653372,18.894871470484123,494.5156312684755,25.523735469096415
1,341.4450801365179,24.913726761355328,280.6501893739443,28.906251690838786
2,200.03423864977785,27.192742239859054,217.86589965820312,30.15658882759713
3,149.29637596569881,28.540765876886635,158.69210906157622,31.93715468741752
4,114.51197525690826,29.695615923473635,146.83130740603886,32.203785891146275
5,97.66059042699048,30.47027840856539,206.21955962309966,29.791731128177126
6,85.74809285423825,31.057336643911892,161.38653399493242,30.903702895705763
7,76.2702635901778,31.62999062395116,97.24846653293919,35.29212176348712
8,77.94704429214482,31.568711414692647,105.39110214645798,32.89512919864139
9,70.07947227054538,32.033360520346086,93.96373612687394,35.367222925134605
10,74.19916164423132,31.907181541389367,90.04992758261191,34.622194929380676
11,66.64405476981342,32.28505993070302,85.39048195916253,36.04417721516377
12,62.874372649555575,32.571171971578835,96.58977079649229,33.560166539372624
13,60.132998554976716,32.82632940746329,84.49601683745513,34.18460957295186
14,60.20657664901888,32.83656783690644,83.45563791635874,34.67902593870421
15,60.3947372044191,32.87289627355515,69.23524631809543,37.07476790144637
16,54.59039644953783,33.22681402935356,72.18441496153136,36.73777869972023
17,52.71218875879677,33.46035497279612,72.9196939004434,35.6845210719753
18,53.0109327877355,33.50987387937966,66.75773105105839,36.264805170007655
19,54.26947158215441,33.534531467352615,61.05996965975375,37.950510014714425
20,54.61774014588808,33.50055354009847,62.58861273688239,38.64892827626821
21,51.947852759333024,33.66209289024396,65.59518682119008,37.71217554453257
22,51.274308114528374,33.71684166343293,62.401200330579606,36.723293077623524
23,48.92006290037993,33.946314890101114,60.81992651449667,37.41106241587046
24,50.344638266987914,33.766501740402305,66.63628026601431,36.70894076373126
25,47.80760762073997,34.06328426803227,57.66278694771432,38.561417430155984
26,47.730854835485694,34.11523054674923,114.55550974253062,31.19015500867689
27,46.4752261475377,34.218544243616954,67.51246280154666,34.52191640493032
28,47.604587428447026,34.10904519384012,53.60741008036845,38.99573275591876
29,44.69765444601426,34.352401878692,66.83498980547931,34.34924743239944
30,46.767677596299826,34.25705824968157,52.977906665286504,38.95911158999881
31,45.17200323504349,34.35966582873915,69.82360439816037,35.39307873700116
32,44.56398054805656,34.41223935219428,55.21506580662083,38.2828374708021
33,42.589269366360796,34.65661572843276,101.70048642545133,34.09980336782095
34,43.13454077442972,34.54158699913071,57.61975994625607,37.09730331833298
